#OTU ID,EDCA1,EDCA2,EDCA3,EDCA4,EDCA5,EDCB1,EDCB2,EDCB3,EDCB4,EDCB5,EDCC1,EDCC2,EDCC3,EDCC4,EDCC5,EDCD1,EDCD2,EDCD3,EDCD4,EDCD5,EDCE1,EDCE2,EDCE3,EDCE4_5,EDCE4,EDCE5,EDCF1,EDCF2,EDCF3,EDCF4,EDCF5,EDCG1,EDCG2,EDCG3,EDCG4,EDCG5,EDCH1,EDCH2,EDCH3,EDCH4,EDCH5,EDCI1,EDCI2,EDCI3,EDCI4_5,EDCI4,EDCI5,EDCJ1,EDCJ2,EDCJ3,EDCJ4_5,EDCJ4,EDCJ5,EJC10,EJC23,EJC3,EJC30,XDCA2,XDCA3,XDCA4,XDCB2,XDCB3,XDCB4,XDCC1,XDCC2,XDCC3,XDCC4,XDCD0,XDCD1,XDCD2,XDCD3,XDCD4,XDCE1,XDCE2,XDCE3,XDCE4,XDCF2,XDCF3,XDCF4,XDCG2,XDCG3,XDCG4,XDCH2,XDCH3,XDCH4,XDCI2,XDCI3,XDCI4,XDCJ1,XDCJ2,XDCJ3,XDCJ4,XJC-14,XJC-3,XJC29,YDCA1,YDCA2,YDCA3,YDCA4,YDCA5,YDCA6,YDCB1,YDCB2,YDCB3,YDCB4,YDCB5,YDCB6,YDCC0,YDCC1,YDCC2,YDCC3,YDCC4,YDCC5,YDCC6,YDCD0,YDCD1,YDCD2,YDCD3,YDCD4,YDCD5,YDCD6,YDCE0,YDCE1,YDCE2,YDCE3,YDCE4,YDCE5,YDCE6,YDCF1,YDCF2,YDCF3,YDCF4,YDCF5,YDCF6,YDCG1,YDCG2,YDCG3,YDCG4,YDCG5,YDCG6,YDCH1,YDCH2,YDCH3,YDCH4,YDCH5,YDCH6,YDCI1,YDCI2,YDCI3,YDCI4,YDCI5,YDCI6,YDCJ1,YDCJ2,YDCJ3,YDCJ4,YDCJ5,YDCJ6,YJC24,ZDCA1,ZDCA2,ZDCA3,ZDCA4,ZDCA5,ZDCB1,ZDCB2,ZDCB3,ZDCB4,ZDCB5,ZDCC0,ZDCC1,ZDCC2,ZDCC3,ZDCC4,ZDCC5,ZDCD0,ZDCD1,ZDCD2,ZDCD3,ZDCD4,ZDCD5,ZDCD6,ZDCE0,ZDCE1,ZDCE2,ZDCE3,ZDCE4,ZDCE5,ZDCE6,ZDCF0,ZDCF1,ZDCF2,ZDCF3,ZDCF4,ZDCF5,ZDCG1,ZDCG2,ZDCG3,ZDCG4,ZDCG5,ZDCG6,ZDCH1,ZDCH2,ZDCH3,ZDCH4,ZDCH5,ZDCI1,ZDCI2,ZDCI3,ZDCI4,ZDCI5,ZDCI6,ZDCJ0,ZDCJ1,ZDCJ2,ZDCJ3,ZDCJ4,ZDCJ5,ZDCJ6,ZJC16,ZJC22,ZJCCJ,OTUsize,Taxonomy,superkingdom,phylum,class,order,family,genus,species
ASV1,19855,10387,1162,133,181,8978,2454,4905,477,1041,6241,2452,2900,230,1038,4233,4885,2206,367,1333,6904,5335,7065,1144,817,173,9988,14991,4363,808,449,14907,23570,3564,453,133,10522,12891,4255,176,538,11714,9684,2045,1269,1328,135,11608,1613,1165,935,831,241,414,94,174,92,118868,78947,114983,76978,131842,94743,26753,66792,109423,81911,38999,59068,26132,114285,51996,82182,133507,122157,93720,41187,144914,75537,53293,84392,103995,71842,126529,111029,134151,162338,82702,49182,140960,148381,110400,47675,53469,29973,5006,21912,5115,14459,22427,134,20878,788,896,903,2241,259,9711,2956,3069,1574,3559,1511,1609,11665,2752,8174,2949,2292,4868,1672,52825,8020,8272,594,15399,199,171,12247,18334,1823,14590,8321,486,19942,11799,9785,9386,8958,1065,7763,13377,7252,6622,9190,2088,9815,8799,13931,9116,5440,207,13632,10683,2953,6524,1348,317,2183,30125,92466,166524,142570,166507,95555,123669,60351,91091,29211,53789,61416,73615,26620,45708,35628,49787,40801,84436,19549,41319,25170,46146,33406,63610,121892,41413,71119,31986,100479,10205,117250,114194,147096,93511,132035,5776,85970,33857,104821,35475,154377,61580,168596,94860,145210,157886,88814,122075,166953,135335,173912,55846,17577,150020,129386,69846,98970,59590,61800,48224,103036,76804,9410761,Fungi{superkingdom}(88);Ascomycota{phylum}(88);Saccharomycetes{class}(88);Saccharomycetales{order}(88);Saccharomycetaceae{family}(88);Issatchenkia{genus}(88);Issatchenkia_orientalis{species}(88),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
ASV2,9854,29353,109882,95303,84890,33366,117695,89629,145333,113407,61859,84641,87098,71756,113524,37723,77458,108826,113889,97154,51254,77401,69593,112937,45516,87341,20794,3736,82181,60881,76606,24645,2065,86546,100069,81124,8814,3960,97656,68278,138006,2639,5901,104797,113984,115182,102856,2698,114848,66169,121105,85499,118435,117909,26297,111550,67653,214,54,4,176,84,7,23,264,11,8,88,20,23,26,0,84,80,66,5,11,75,0,166,31,0,266,30,0,97,46,0,84,76,12,0,0,93,24,404,3761,88858,20331,20170,83242,46513,88605,60878,80829,82406,90768,6376,99422,101750,93000,81152,76441,78888,7783,98330,68611,60717,44353,61087,80838,2115,74511,80960,46240,32600,40723,23477,2900,22703,135940,34379,49129,75272,586,24265,80387,15679,40375,69557,482,22630,5804,9939,5028,68152,2428,18900,42543,47794,18279,60124,770,13188,66352,67960,90328,62706,76409,19,5,10,0,14,0,0,15,13,8,0,0,14,0,16,0,3,6,0,7,10,0,0,10,12,0,6,28,9,12,0,0,8,0,7,0,0,5,4,0,4,0,8,13,8,12,0,7,0,0,0,0,655,17,382,14,13,12,12,0,134,176,292,7420940,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycetaceae{family}(100);Zygosaccharomyces{genus}(100);Zygosaccharomyces_pseudobailii{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_pseudobailii
ASV3,485,0,145,0,0,1081,33,270,23,0,2311,0,287,19,0,1426,68,963,0,32,944,131,851,0,0,0,68,0,272,0,0,452,0,256,19,0,170,62,52,0,16,145,0,0,0,0,0,0,0,0,30,0,0,159,85,149,33,32937,4765,6723,12055,19566,30042,71673,12284,5333,38159,38510,48153,23120,22290,67346,44260,18981,31259,32397,9823,10508,30031,13251,6616,16018,13566,7270,14631,20784,9534,8055,42443,15664,5100,29741,57692,94775,40720,210,1199,0,585,93,0,304,298,0,299,0,76,3405,225,336,0,453,161,257,1513,418,1464,426,400,13358,560,13310,1399,0,190,1537,58,53,1182,231,0,1705,233,0,0,668,196,0,248,98,481,0,635,309,0,126,412,486,0,789,189,0,822,934,467,423,60,0,0,8788,0,18874,35170,15737,33402,59651,90699,60759,50878,50911,122988,105903,130012,111995,105692,88837,117429,90960,87758,93365,98742,17588,40372,88174,71922,109788,78696,84181,20561,6430,23086,47963,32826,15135,38185,1447,6735,4734,15019,6820,7014,8207,24756,26244,13625,12441,22963,12302,16629,12602,17327,71283,4448,24464,54783,105173,30529,44364,26607,112666,52748,57476,4117256,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycetaceae{family}(100);Saccharomyces{genus}(100);Unassigned{species}(0),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Unassigned
ASV4,1633,5519,20190,14960,14902,5305,18452,16163,24623,18594,8108,14413,16242,11718,19552,5674,12394,18599,18734,16861,8837,12874,12399,18216,7088,14682,3811,854,14041,9432,12223,4206,466,13550,16477,13830,1650,694,16828,10669,23810,508,1041,17104,20448,20138,17340,413,19658,11116,20751,14652,20635,20543,4847,18565,11183,26,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,13363,2821,2677,11568,7375,14231,9661,8778,11217,13951,748,15028,14683,15376,14174,12324,13173,1401,17870,11312,9683,7673,9649,12024,385,12019,13305,4265,4656,5715,4307,491,2775,17285,4410,9553,10386,93,4410,11527,2935,5169,0,83,2619,948,0,706,8515,427,3339,9063,5661,4226,11338,97,2565,13368,10240,19394,8558,10955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1195546,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycetaceae{family}(100);Zygosaccharomyces{genus}(100);Zygosaccharomyces_pseudobailii{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_pseudobailii
ASV5,9390,8956,789,121,173,10863,2470,4134,462,972,5685,3840,2175,291,1337,5314,5439,2365,390,2037,7169,5406,3672,962,374,274,9152,10188,6193,212,266,10531,11963,3387,347,157,10575,11518,4316,264,467,13882,12316,3164,1850,1367,112,16276,1714,1481,1108,434,183,214,54,164,104,126,918,29,1128,327,16,258,1429,109,26,919,160,77,168,17,506,429,270,11,141,313,5,625,1534,34,1123,606,28,604,382,14,713,382,191,13,96,127,149,20007,13875,5414,10458,11373,170,10239,481,551,978,3842,264,16788,9227,1101,1284,3026,1394,1271,15900,3449,3436,2839,2588,3046,1913,10113,5778,5597,323,8240,485,147,19729,16837,2344,8548,11483,796,17680,15160,5176,10206,9179,1286,18386,12318,13904,8025,14729,1671,19605,13474,8858,7514,11232,281,24252,11229,5728,6336,718,514,840,7421,866,227,89,110,372,92,151,224,89,310,137,117,127,148,181,487,197,108,255,145,227,177,1169,288,103,104,85,89,282,1333,690,130,113,119,114,1531,591,929,201,77,223,7022,254,443,186,164,509,104,198,155,101,220,2776,412,180,103,186,152,152,91,103,735,741331,Fungi{superkingdom}(70);Ascomycota{phylum}(70);Eurotiomycetes{class}(70);Eurotiales{order}(70);Aspergillaceae{family}(70);Aspergillus{genus}(70);Aspergillus_ruber{species}(70),Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_ruber
ASV6,19469,18406,1630,234,343,21711,4352,7952,579,1483,8804,5857,4779,475,2159,10137,11094,3947,621,3473,10694,8090,7222,1414,486,376,15474,21215,10792,439,458,22882,24222,6450,572,289,21764,27180,6570,466,545,29150,24458,6364,3566,2294,202,28486,3613,2974,2160,676,299,446,51,193,84,56,635,16,646,151,13,114,779,106,0,404,99,19,103,5,233,164,213,13,45,176,0,348,692,95,476,454,0,305,217,0,256,143,101,12,252,311,248,16130,6307,1832,4926,9630,80,4257,195,189,371,1190,99,8115,5029,368,274,868,476,215,5021,842,870,623,549,845,382,3123,1705,2065,105,2329,108,59,19903,8683,777,2563,5433,426,17683,8406,2902,6151,4848,618,16967,7779,6750,3669,8591,891,14157,5935,8228,2502,5840,130,15789,5091,1968,2651,302,174,458,2998,352,142,51,43,199,49,60,113,17,163,68,76,118,69,91,307,103,54,186,59,177,72,475,111,33,65,34,37,59,933,617,71,44,32,24,502,147,232,55,19,49,3162,121,133,58,40,337,34,100,53,22,90,1221,230,76,71,86,52,91,87,45,731,709409,Fungi{superkingdom}(97);Ascomycota{phylum}(97);Eurotiomycetes{class}(97);Eurotiales{order}(97);Trichocomaceae{family}(97);Thermomyces{genus}(97);Thermomyces_ibadanensis{species}(97),Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Thermomyces,Thermomyces_ibadanensis
ASV7,16354,6409,9251,122,320,10275,1931,2666,537,1489,5336,1361,3411,178,950,3043,3682,1832,470,1165,5899,5545,4359,936,514,301,15792,8700,4541,2188,197,5421,8141,3936,233,112,9643,8679,4220,263,437,8225,10032,2374,1656,971,142,13654,2499,1467,896,773,320,205,53,291,89,745,2143,148,5235,726,85,864,3429,156,145,412,303,183,265,45,1643,1275,516,45,270,368,49,2657,1250,108,3918,619,123,2421,490,72,2421,1015,296,49,381,339,256,2530,5648,4522,5355,8795,96,6235,661,817,1308,2603,273,14431,2928,1319,2916,3205,1606,1115,5424,2613,1617,2076,1230,1370,1073,12988,6926,3543,414,7226,426,265,5969,3335,1283,7430,3161,681,3707,9422,2023,3867,2888,1297,3061,4908,4543,3382,4107,1252,5014,5935,5696,4649,3388,1230,7835,4706,4226,3082,569,409,1032,40404,5893,827,172,539,1202,183,213,520,112,453,320,199,165,161,153,860,438,163,233,172,298,123,2836,477,165,122,136,103,174,2862,1950,224,172,151,552,30332,4596,7715,1105,144,178,16480,1733,2536,655,898,2102,528,789,413,437,319,6254,950,537,146,851,107,113,429,90,1072,612828,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycopsidaceae{family}(100);Saccharomycopsis{genus}(100);Saccharomycopsis_fibuligera{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis_fibuligera
ASV8,12975,15304,522,142,232,12612,3628,5253,157,1365,5677,5097,3394,211,2103,8143,8445,3420,351,1429,8772,973,5444,671,371,309,9462,11758,5780,218,162,16339,15764,12,53,28,7697,15120,447,0,559,15633,6925,3635,2470,1173,27,18308,400,1907,1468,539,132,580,13,181,10,15,137,0,0,140,0,31,283,36,0,0,0,0,38,13,127,113,0,0,0,109,0,64,346,0,0,115,0,159,47,12,128,70,0,12,18,39,18,11903,7319,2885,6546,3390,35,4491,32,49,650,1630,119,853,3323,658,486,515,822,253,2355,28,1505,1057,33,1491,655,3394,1803,3714,230,31,180,115,12890,8588,1330,29,3346,279,14191,3532,3848,7893,4055,49,14713,8457,8787,5237,8129,18,15552,9847,2780,4863,8199,36,6246,8341,2851,4184,469,207,561,1299,252,20,0,0,82,0,9,47,0,53,0,39,0,46,0,44,26,58,85,49,8,0,231,58,0,23,17,0,59,368,147,50,29,26,0,192,0,23,0,0,55,1369,83,0,0,11,0,0,40,0,27,20,0,14,0,0,26,0,0,36,27,20,482995,Fungi{superkingdom}(86);Ascomycota{phylum}(86);Eurotiomycetes{class}(86);Eurotiales{order}(86);Thermoascaceae{family}(86);Thermoascus{genus}(86);Thermoascus_crustaceus{species}(86),Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Thermoascus,Thermoascus_crustaceus
ASV9,0,0,0,0,0,0,0,53,7,0,0,25,44,0,14,286,0,87,13,0,49,0,38,0,0,0,0,0,42,0,0,0,0,0,127,0,75,0,8,49,0,0,0,0,45,0,0,42,0,26,0,0,0,0,0,0,0,16280,2684,5264,2550,9597,4158,12669,7565,5928,4005,6090,13635,20532,12577,8927,10900,5296,9886,6183,10072,5935,1082,46117,2380,1523,7758,2124,5675,6190,2813,3620,16639,4848,1477,612,2462,4335,1110,60,177,53,202,278,0,154,28,0,0,38,22,109,0,0,0,65,0,69,146,43,81,0,48,105,0,4244,647,81,0,228,0,0,593,67,82,86,213,0,692,272,170,293,273,0,267,383,253,115,140,0,155,158,51,114,56,0,229,167,45,67,0,15,0,308,3964,6128,4611,1972,4682,4943,13359,6865,1493,1291,1899,6684,3033,3718,694,486,6670,6050,551,673,951,592,1070,6902,2691,763,2167,1034,1250,903,2635,3076,3929,700,3913,470,1208,576,2229,909,823,2620,6802,2294,2575,2786,3653,1542,1372,7419,2088,2349,817,1959,3533,2089,2270,3590,1077,563,1461,968,477054,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Unassigned,Unassigned,Unassigned
ASV10,5038,2030,237,26,56,2569,513,679,105,284,757,319,660,52,269,679,922,487,64,366,976,664,1303,174,72,74,2873,2148,936,81,54,2814,3317,684,76,36,3567,3022,851,57,123,3857,4035,684,523,228,33,2235,464,296,272,132,46,397,36,32,64,63,236,37,670,180,44,193,578,24,52,541,234,31,86,81,1055,236,150,30,157,145,19,374,737,56,563,356,47,238,197,40,733,649,68,16,376,196,154,4859,8621,7685,12717,10859,133,4749,513,650,1132,3321,310,8717,3501,1185,1587,3234,1381,1303,5254,2455,1858,1859,1640,1515,1143,8192,4667,3998,457,9844,477,170,8727,11073,1675,9982,9219,909,10886,13359,5882,9688,7847,1715,12115,12412,8832,7623,12718,2068,12760,14175,5485,9053,7588,273,9918,10619,4367,4645,514,569,797,4504,891,96,22,328,178,29,28,61,26,88,68,75,38,36,56,191,95,28,66,55,79,31,598,107,31,42,31,19,40,836,265,49,22,29,54,1480,448,746,58,37,22,3306,227,965,72,107,355,76,127,46,50,101,1529,170,90,30,97,37,60,36,28,183,430144,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Debaryomycetaceae{family}(100);Millerozyma{genus}(100);Millerozyma_farinosa{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Millerozyma,Millerozyma_farinosa
